Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2006,22,22,NJN,Marcus Williams,University of Connecticut,4,203,3095,1128,361,574,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0,-0.001,-4.6,-2
2006,23,23,NJN,Josh Boone,University of Connecticut,4,256,4482,1340,1258,125,0.544,,0.445,17.5,5.2,4.9,0.5,9.1,0.097,-1.9,0.1
2006,24,24,MEM,Kyle Lowry,Villanova University,12,718,22227,10224,2933,4161,0.424,0.364,0.799,31,14.2,4.1,5.8,70.3,0.152,3.6,31.6
2006,25,25,CLE,Shannon Brown,Michigan State University,9,408,7329,3118,760,458,0.42,0.332,0.807,18,7.6,1.9,1.1,9.2,0.06,-2.3,-0.6
2006,26,26,LAL,Jordan Farmar,"University of California, Los Angeles",10,504,9840,3888,958,1453,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-1.4,1.6
2006,27,27,PHO,Sergio Rodriguez,,5,353,5281,1747,525,1183,0.409,0.337,0.739,15,4.9,1.5,3.4,4.3,0.039,-3.2,-1.6
2006,28,28,DAL,Maurice Ager,Michigan State University,4,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-10.4,-1.1
2006,29,29,NYK,Mardy Collins,Temple University,4,189,2771,742,336,327,0.38,0.299,0.599,14.7,3.9,1.8,1.7,-1.6,-0.027,-4.9,-2
2006,30,30,POR,Joel Freeland,,3,151,1821,477,518,65,0.459,0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,-2.5,-0.2
2006,31,31,POR,James White,University of Cincinnati,3,67,583,182,68,35,0.438,0.34,0.676,8.7,2.7,1,0.5,0.8,0.062,-3.4,-0.2
2006,32,32,HOU,Steve Novak,Marquette University,11,467,5657,2177,591,132,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,-0.9,1.6
2006,33,33,ATL,Solomon Jones,University of South Florida,8,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,-2.9,-0.7
2006,34,34,LAC,Paul Davis,Michigan State University,4,82,702,217,158,32,0.402,0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,-4.7,-0.5
2006,35,35,TOR,P.J. Tucker,University of Texas at Austin,7,425,11852,3248,2429,658,0.431,0.352,0.75,27.9,7.6,5.7,1.5,21.3,0.086,0.9,8.7
2006,36,36,MIN,Craig Smith,Boston College,6,403,6826,3080,1567,322,0.553,0.037,0.661,16.9,7.6,3.9,0.8,16,0.113,-1.5,0.9
2006,37,37,MIN,Bobby Jones,University of Washington,2,91,867,288,149,44,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-3.5,-0.3
2006,38,38,GSW,Kosta Perovic,,1,7,38,10,13,1,0.3,,0.667,5.4,1.4,1.9,0.1,0,0.06,-6.7,0
2006,39,39,MIL,David Noel,University of North Carolina,1,68,792,184,123,65,0.367,0.321,0.86,11.6,2.7,1.8,1,0.4,0.024,-3.4,-0.3
2006,40,40,SEA,Denham Brown,University of Connecticut,,,,,,,,,,,,,,,,,
2006,41,41,ORL,James Augustine,University of Illinois at Urbana-Champaign,2,27,156,42,33,4,0.514,,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.2,0
2006,42,42,CLE,Daniel Gibson,University of Texas at Austin,7,397,9316,3115,792,775,0.402,0.407,0.78,23.5,7.8,2,2,16,0.082,-1,2.3
2006,43,43,NOK,Marcus Vinicius,,2,26,172,50,19,7,0.457,0.421,0.556,6.6,1.9,0.7,0.3,0.2,0.056,-3.6,-0.1
2006,44,44,ORL,Lior Eliyahu,,,,,,,,,,,,,,,,,,
2006,45,45,IND,Alexander Johnson,Florida State University,2,102,1302,439,275,30,0.517,,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.3,-0.7
2006,46,46,UTA,Dee Brown,University of Illinois at Urbana-Champaign,2,68,711,140,69,119,0.34,0.25,0.643,10.5,2.1,1,1.8,0.1,0.008,-4.1,-0.4
2006,47,47,UTA,Paul Millsap,Louisiana Tech University,12,843,24871,11981,6299,1931,0.492,0.327,0.736,29.5,14.2,7.5,2.3,79.9,0.154,3.3,33.5
2006,48,48,WAS,Vladimir Veremeenko,,,,,,,,,,,,,,,,,,
2006,49,49,DEN,Leon Powe,University of California,5,239,3320,1484,911,78,0.515,0,0.682,13.9,6.2,3.8,0.3,12,0.174,-2.3,-0.2
2006,50,50,CHA,Ryan Hollins,"University of California, Los Angeles",10,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-2.6,-1
2006,51,51,LAL,Cheikh Samb,,2,22,114,22,31,1,0.25,0,0.444,5.2,1,1.4,0,-0.1,-0.056,-9.2,-0.2
2006,52,52,LAC,Guillermo Diaz,University of Miami,1,6,18,5,2,1,0.25,0,0.6,3,0.8,0.3,0.2,0,0.033,-5.9,0
2006,53,53,SEA,Yotam Halperin,,,,,,,,,,,,,,,,,,
2006,54,54,NJN,Hassan Adams,University of Arizona,2,73,547,185,84,14,0.534,0,0.643,7.5,2.5,1.2,0.2,0.8,0.072,-4.4,-0.3
2006,55,55,CLE,Ejike Ugboaja,,,,,,,,,,,,,,,,,,
2006,56,56,TOR,Edin Bavcic,,,,,,,,,,,,,,,,,,
2006,57,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,
